;;;;Lightning;DataFly;IGreedy
Quality measure;Suppression limit;Privacy model;Dataset;Value;Value;Value
Non-uniform entropy;0.0;(0.2)-closeness;ADULT;0.47695408727678;1.0;1.0
Non-uniform entropy;0.0;(0.2)-closeness;CUP;0.0;0.0;0.0
Non-uniform entropy;0.0;(0.2)-closeness;FARS;1.0;0.0;0.0
Non-uniform entropy;0.0;(0.2)-closeness;ATUS;0.10997297958465445;1.0;0.7522081144061821
Non-uniform entropy;0.0;(0.2)-closeness;IHIS;0.4688933491623894;0.5339106405553742;0.4182009405054422
Non-uniform entropy;0.0;(0.05, 0.015)-presence;ADULT;0.2364418898018151;0.11693565584703992;0.11693565584703992
Non-uniform entropy;0.0;(0.05, 0.015)-presence;CUP;1.0;1.0;1.0
Non-uniform entropy;0.0;(0.05, 0.015)-presence;FARS;0.6811259434690771;0.0;0.0
Non-uniform entropy;0.0;(0.05, 0.015)-presence;ATUS;0.20123078525584653;0.8743995002136368;0.8716363719141531
Non-uniform entropy;0.0;(0.05, 0.015)-presence;IHIS;0.217110901830186;0.28130116712312475;0.28130116712312475
Non-uniform entropy;0.0;(0.01)-uniqueness;ADULT;0.029210174433388126;0.029210174433388126;0.029210174433388126
Non-uniform entropy;0.0;(0.01)-uniqueness;CUP;0.17831395082144222;0.09861134804685558;0.09861134804685558
Non-uniform entropy;0.0;(0.01)-uniqueness;FARS;0.10940626616622079;0.04303921042237787;0.04303921042237787
Non-uniform entropy;0.0;(0.01)-uniqueness;ATUS;0.0;0.0;0.0
Non-uniform entropy;0.0;(0.01)-uniqueness;IHIS;0.0;0.0;0.0
Non-uniform entropy;0.1;(5)-anonymity;ADULT;0.10013138632143737;0.24166824549787738;0.24166824549787738
Non-uniform entropy;0.1;(5)-anonymity;CUP;0.16805421734441697;0.29751259518872475;0.29751259518872475
Non-uniform entropy;0.1;(5)-anonymity;FARS;0.0545722987506174;0.11718228648532793;0.11718228648532793
Non-uniform entropy;0.1;(5)-anonymity;ATUS;0.056710695174849786;0.056710695174849786;0.056710695174849786
Non-uniform entropy;0.1;(5)-anonymity;IHIS;0.013354019088916211;0.08767927474674944;0.08767927474674944
