;;;;Time;Quality;Complete
Quality measure;Privacy model;Suppression limit;Dataset;Value;Value;Value
AECS;(5)-anonymity;1.0;SS13ACS_30;9124.0;0.9999802123087355;false
AECS;(5)-anonymity;1.0;SS13ACS_30;9331.0;1.0;false
AECS;(0.01)-uniqueness;0.0;SS13ACS_15;253.0;0.0;true
AECS;(0.01)-uniqueness;0.0;SS13ACS_15;1192.0;0.9445104393930055;true
AECS;(0.01)-uniqueness;0.0;SS13ACS_15;9931.0;1.0;true
AECS;(0.01)-uniqueness;0.0;SS13ACS_20;15799.0;1.0;false
AECS;(0.01)-uniqueness;0.0;SS13ACS_25;67617.0;1.0;false
AECS;(0.01)-uniqueness;0.0;SS13ACS_30;186856.0;1.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_15;67.0;0.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_15;298.0;0.13213673439390716;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_15;680.0;0.20637699137884372;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_15;943.0;0.4658707658635842;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_15;9898.0;1.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;84.0;0.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;207.0;0.011543916670959428;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;334.0;0.0147644496177225;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;400.0;0.021179621779012912;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;539.0;0.02497238646417717;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;624.0;0.033115851481613404;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;1620.0;0.039433164542298484;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;2013.0;0.0498226223065611;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;2150.0;0.05546893939916361;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;2218.0;0.060894963566615584;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;2392.0;0.06610355311101372;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;2469.0;0.07205535493763929;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;3634.0;0.08121160656675037;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;3799.0;0.0944365600414437;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;3990.0;0.09893629558302407;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;5240.0;0.10788346949766284;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;5386.0;0.12080786327744676;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;7236.0;0.12758083718028781;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;7495.0;0.13974389007609844;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;8897.0;0.14730256294880734;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;9277.0;0.15374145141397202;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;10439.0;0.15552352864356833;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;10635.0;0.16333131767010017;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;10881.0;0.1695035192695045;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;12343.0;0.17564187674295284;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;13060.0;0.17948307482570494;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;13977.0;0.1848732938062557;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;15802.0;1.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;86.0;0.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;448.0;0.01940028142857823;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;759.0;0.03490587603129606;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;997.0;0.038528687041340694;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;1071.0;0.04709422810687359;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;3261.0;0.0576138612940191;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;3441.0;0.06050910216214514;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;3511.0;0.0775309446419744;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;3606.0;0.08694319611408621;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;4090.0;0.1264809769511736;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;6908.0;0.1993369782943936;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;41122.0;0.21682423547465512;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;41435.0;0.2207652139835757;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;43469.0;0.2379607935350804;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;45319.0;0.2395124377932032;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;46102.0;0.25721950696891493;false
